Date,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,Other Equipment,Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Other Intangible Assets,"Deferred Tax Assets, Non-Current",Other Non-Current Assets,"Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Interest Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,Current Debt,"Notes Payable, Current Debt","Other Loans, Current Debt","Derivative and Hedging Liabilities, Current","Provisions, Current","Provision for Employee Entitlements, Current","Pension and Other Post-Retirement Benefit Plans, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Accrued Expenses, Non-Current",Other Non-Current Liabilities,"Deferred Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Additional Paid in Capital/Share Premium,Preferred Stock,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum. Comp. Inc,Pension and Other Post-Retirement Benefit Plans Reserves/Accum. Comp. Inc,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Other Equity Interest,Non-Controlling/Minority Interests,Common Shares Issued,Common Shares Outstanding,Common Shares Treasury
2009,"11,134,000,000","3,810,000,000","600,000,000","600,000,000","1,209,000,000","310,000,000","50,000,000","849,000,000","1,626,000,000",,,,"375,000,000","7,324,000,000","3,516,000,000","6,700,000,000","1,233,000,000","156,000,000","1,077,000,000","5,467,000,000",,,"-3,184,000,000","-3,184,000,000","3,123,000,000","3,123,000,000","2,302,000,000","821,000,000",,"821,000,000",,,,,,,"685,000,000",,"7,877,000,000","3,599,000,000","3,238,000,000","1,559,000,000","1,172,000,000",,"387,000,000","1,679,000,000","361,000,000","361,000,000",,,,"361,000,000","35,000,000","326,000,000",,,,,"4,278,000,000","2,821,000,000","2,821,000,000","2,821,000,000",,,,,,"82,000,000","82,000,000",,,"1,375,000,000",,"3,257,000,000","3,116,000,000","-7,812,000,000","2,666,000,000","733,000,000",,"1,764,000,000","169,000,000","-10,478,000,000","13,157,000,000","-2,096,000,000",,,,"-133,000,000","141,000,000","988,330,034","988,330,034","477,376,326"
2010,"11,172,000,000","3,730,000,000","490,000,000","490,000,000","1,222,000,000","295,000,000","50,000,000","877,000,000","1,610,000,000","1,610,000,000",,,"408,000,000","7,442,000,000","3,693,000,000","7,160,000,000","1,506,000,000","187,000,000","1,319,000,000","5,654,000,000",,,"-3,467,000,000","-3,467,000,000","3,193,000,000","3,193,000,000","2,362,000,000","831,000,000",,"831,000,000",,,,,,,"556,000,000",,"8,355,000,000","3,728,000,000","3,119,000,000","1,437,000,000","1,165,000,000",,"272,000,000","1,682,000,000","609,000,000","609,000,000",,,,"609,000,000","48,000,000","561,000,000",,,,,"4,627,000,000","2,815,000,000","2,815,000,000","2,815,000,000",,,,,,"108,000,000","108,000,000",,,,"1,704,000,000","2,817,000,000","2,675,000,000","-9,440,000,000","1,865,000,000","733,000,000",,"1,132,000,000",0,"-11,305,000,000","14,329,000,000","-2,115,000,000",,,"-99,000,000",,"142,000,000","989,800,000","989,800,000",0
2011,"12,724,000,000","4,402,000,000","878,000,000","878,000,000","1,327,000,000","319,000,000","54,000,000","954,000,000","1,675,000,000","1,675,000,000","1,724,000,000","-49,000,000","522,000,000","8,322,000,000","3,668,000,000","7,324,000,000","1,582,000,000","240,000,000","1,342,000,000","5,742,000,000",,,"-3,656,000,000","-3,656,000,000","3,998,000,000","3,998,000,000","2,657,000,000","1,341,000,000",,"1,341,000,000",,,,,,"115,000,000","541,000,000",0,"10,183,000,000","3,716,000,000","3,336,000,000","1,636,000,000","1,244,000,000",,"392,000,000","1,700,000,000","380,000,000","380,000,000","346,000,000","346,000,000",,"34,000,000","34,000,000",,,,,,"6,467,000,000","4,430,000,000","4,430,000,000","4,430,000,000",,,"1,582,000,000","1,582,000,000","1,582,000,000","252,000,000","252,000,000",,,"203,000,000",,"2,541,000,000","2,375,000,000","-10,739,000,000","2,069,000,000","733,000,000","733,000,000","1,336,000,000",,"-12,808,000,000","15,649,000,000","-2,475,000,000",,,"-60,000,000",,"166,000,000","960,036,150","960,036,150","505,670,210"
2012,"13,394,000,000","4,556,000,000","884,000,000","884,000,000","1,365,000,000","362,000,000","81,000,000","922,000,000","1,668,000,000","1,668,000,000","1,729,000,000","-61,000,000","639,000,000","8,838,000,000","3,842,000,000","7,821,000,000","1,690,000,000","251,000,000","1,439,000,000","6,131,000,000","4,987,000,000","1,144,000,000","-3,979,000,000","-3,979,000,000","3,999,000,000","4,287,000,000","2,500,000,000","1,787,000,000","548,000,000","1,239,000,000","-288,000,000","-288,000,000","-288,000,000","-254,000,000","-34,000,000","92,000,000","905,000,000",,"11,004,000,000","3,736,000,000","3,336,000,000","1,618,000,000","1,290,000,000","26,000,000","302,000,000","1,718,000,000","314,000,000","304,000,000","304,000,000","304,000,000","304,000,000",,,,"10,000,000","86,000,000","86,000,000","86,000,000","7,268,000,000","4,926,000,000","4,926,000,000","4,926,000,000",,,"1,786,000,000","1,786,000,000","1,786,000,000","293,000,000","293,000,000",,,"263,000,000",,"2,390,000,000","2,189,000,000","-12,102,000,000","2,284,000,000","733,000,000","733,000,000","1,551,000,000",,"-14,386,000,000","16,953,000,000","-2,662,000,000","-2,621,000,000","-41,000,000",,,"201,000,000","935,728,676","935,728,676","529,977,684"
2013,"13,876,000,000","4,822,000,000","962,000,000","962,000,000","1,425,000,000","340,000,000","60,000,000","1,025,000,000","1,636,000,000","1,636,000,000","1,703,000,000","-67,000,000","799,000,000","9,054,000,000","4,083,000,000","8,330,000,000","1,879,000,000","254,000,000","1,625,000,000","6,451,000,000","5,220,000,000","1,231,000,000","-4,247,000,000","-4,247,000,000","3,970,000,000","4,290,000,000","2,474,000,000","1,816,000,000","551,000,000","1,265,000,000","-320,000,000","-320,000,000","-320,000,000","-275,000,000","-45,000,000","77,000,000","924,000,000",,"11,340,000,000","4,470,000,000","3,457,000,000","1,631,000,000","1,343,000,000","27,000,000","261,000,000","1,826,000,000","919,000,000","908,000,000","908,000,000","908,000,000","908,000,000",,,,"11,000,000","94,000,000","94,000,000","94,000,000","6,870,000,000","4,749,000,000","4,749,000,000","4,749,000,000",,,"1,387,000,000","1,387,000,000","1,387,000,000","444,000,000","444,000,000","16,000,000","16,000,000","274,000,000",,"2,536,000,000","2,305,000,000","-13,163,000,000","2,470,000,000","1,466,000,000","1,466,000,000","1,004,000,000",,"-15,633,000,000","17,952,000,000","-2,484,000,000","-2,451,000,000","-33,000,000",,,"231,000,000","919,946,575","919,946,575",0
2014,"13,459,000,000","4,863,000,000","1,089,000,000","1,089,000,000","1,382,000,000","349,000,000","55,000,000","978,000,000","1,552,000,000","1,552,000,000","1,606,000,000","-54,000,000","840,000,000","8,596,000,000","4,080,000,000","8,385,000,000","1,910,000,000","250,000,000","1,660,000,000","6,475,000,000","5,220,000,000","1,255,000,000","-4,305,000,000","-4,305,000,000","3,720,000,000","4,059,000,000","2,307,000,000","1,752,000,000","552,000,000","1,200,000,000","-339,000,000","-339,000,000","-339,000,000","-285,000,000","-54,000,000","76,000,000","720,000,000",,"12,074,000,000","3,946,000,000","3,348,000,000","1,675,000,000","1,231,000,000","28,000,000","416,000,000","1,673,000,000","509,000,000","504,000,000","504,000,000","504,000,000","504,000,000",,,,"5,000,000","89,000,000","89,000,000","89,000,000","8,128,000,000","5,644,000,000","5,644,000,000","5,644,000,000",,,"1,886,000,000","1,886,000,000","1,886,000,000","261,000,000","261,000,000","78,000,000","78,000,000","259,000,000",,"1,385,000,000","1,145,000,000","-14,160,000,000","2,702,000,000","1,466,000,000","1,466,000,000","1,236,000,000",,"-16,862,000,000","18,832,000,000","-3,527,000,000","-3,507,000,000","-20,000,000",,,"240,000,000","906,712,145","906,712,145",0
2015,"11,958,000,000","4,384,000,000","970,000,000","970,000,000","1,180,000,000","261,000,000","45,000,000","874,000,000","1,427,000,000","1,427,000,000","1,486,000,000","-59,000,000","807,000,000","7,574,000,000","3,796,000,000","8,059,000,000","1,645,000,000","153,000,000","1,492,000,000","6,414,000,000","5,166,000,000","1,248,000,000","-4,263,000,000","-4,263,000,000","3,449,000,000","3,815,000,000","2,103,000,000","1,712,000,000","545,000,000","1,167,000,000","-366,000,000","-366,000,000","-366,000,000","-302,000,000","-64,000,000","67,000,000","262,000,000",,"12,002,000,000","3,534,000,000","3,153,000,000","1,544,000,000","1,110,000,000","36,000,000","398,000,000","1,609,000,000","307,000,000","302,000,000","302,000,000","302,000,000","302,000,000",,,,"5,000,000","74,000,000","74,000,000","74,000,000","8,468,000,000","6,269,000,000","6,269,000,000","6,269,000,000",,,"1,650,000,000","1,650,000,000","1,650,000,000","233,000,000","233,000,000","96,000,000","96,000,000","220,000,000",,"-44,000,000","-299,000,000","-15,198,000,000","2,904,000,000","1,466,000,000","1,466,000,000","1,438,000,000",,"-18,102,000,000","18,861,000,000","-3,962,000,000","-3,950,000,000","-12,000,000",,,"255,000,000","892,738,518","892,738,518",0
2016,"12,123,000,000","4,338,000,000","1,315,000,000","1,315,000,000","1,171,000,000","266,000,000","42,000,000","863,000,000","1,411,000,000","1,411,000,000","1,484,000,000","-73,000,000","441,000,000","7,785,000,000","3,840,000,000","7,942,000,000","1,691,000,000","147,000,000","1,544,000,000","6,251,000,000","4,971,000,000","1,280,000,000","-4,102,000,000","-4,102,000,000","3,420,000,000","3,815,000,000","2,107,000,000","1,708,000,000","539,000,000","1,169,000,000","-395,000,000","-395,000,000","-395,000,000","-317,000,000","-78,000,000","301,000,000","224,000,000",,"12,106,000,000","3,305,000,000","3,208,000,000","1,706,000,000","1,124,000,000","29,000,000","553,000,000","1,502,000,000","17,000,000","13,000,000","13,000,000","13,000,000","13,000,000",,,,"4,000,000","80,000,000","80,000,000","80,000,000","8,801,000,000","6,520,000,000","6,520,000,000","6,520,000,000","6,225,000,000","295,000,000","1,794,000,000","1,794,000,000","1,794,000,000","246,000,000","246,000,000","69,000,000","69,000,000","172,000,000",,"17,000,000","-243,000,000","-15,978,000,000","3,157,000,000","1,466,000,000","1,466,000,000","1,691,000,000",,"-19,135,000,000","19,922,000,000","-4,187,000,000","-4,180,000,000","-7,000,000",,,"260,000,000","883,108,963","883,108,963","582,597,397"
2017,"12,676,000,000","4,639,000,000","1,535,000,000","1,535,000,000","1,221,000,000","267,000,000","42,000,000","912,000,000","1,480,000,000","1,480,000,000","1,557,000,000","-77,000,000","403,000,000","8,037,000,000","4,072,000,000","8,460,000,000","1,814,000,000","159,000,000","1,655,000,000","6,646,000,000","5,165,000,000","1,481,000,000","-4,388,000,000","-4,388,000,000","3,559,000,000","3,999,000,000","2,218,000,000","1,781,000,000","547,000,000","1,234,000,000","-440,000,000","-440,000,000","-440,000,000","-337,000,000","-103,000,000","188,000,000","218,000,000",,"12,433,000,000","3,408,000,000","3,296,000,000","1,723,000,000","1,212,000,000","34,000,000","477,000,000","1,573,000,000","31,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,,,"20,000,000","81,000,000","81,000,000","81,000,000","9,025,000,000","6,566,000,000","6,566,000,000","6,566,000,000","6,542,000,000","24,000,000","1,724,000,000","1,724,000,000","1,724,000,000","204,000,000","204,000,000","53,000,000","53,000,000","478,000,000",,"243,000,000","-60,000,000","-16,731,000,000","3,450,000,000","1,466,000,000","1,466,000,000","1,984,000,000",,"-20,181,000,000","20,531,000,000","-3,860,000,000","-3,855,000,000","-5,000,000",,,"303,000,000","874,701,118","874,701,118","591,005,242"
2018,"12,161,000,000","3,793,000,000","726,000,000","726,000,000","1,250,000,000","253,000,000","37,000,000","960,000,000","1,400,000,000","1,400,000,000","1,482,000,000","-82,000,000","417,000,000","8,368,000,000","3,881,000,000","8,336,000,000","1,756,000,000","152,000,000","1,604,000,000","6,580,000,000","5,157,000,000","1,423,000,000","-4,455,000,000","-4,455,000,000","4,167,000,000","4,658,000,000","2,530,000,000","2,128,000,000","771,000,000","1,357,000,000","-491,000,000","-491,000,000","-491,000,000","-358,000,000","-133,000,000","152,000,000","168,000,000",,"11,964,000,000","3,341,000,000","3,236,000,000","1,795,000,000","1,222,000,000","35,000,000","538,000,000","1,441,000,000","21,000,000","12,000,000","12,000,000","12,000,000","12,000,000",,,,"9,000,000","84,000,000","84,000,000","84,000,000","8,623,000,000","6,354,000,000","6,354,000,000","6,354,000,000",,,"1,600,000,000","1,600,000,000","1,600,000,000","235,000,000","235,000,000","54,000,000","54,000,000","380,000,000",,"197,000,000","-102,000,000","-17,526,000,000","3,670,000,000","1,466,000,000","1,466,000,000","2,204,000,000",,"-21,196,000,000","21,615,000,000","-4,191,000,000","-4,188,000,000","-3,000,000",,,"299,000,000","862,912,792","862,912,792","602,793,568"