Date,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,"Available-for-Sale Securities, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Deferred Tax Assets, Current","Assets Held for Sale/Discontinued Operations, Current","Deferred Costs/Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Customer Relationships,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,Other Non-Current Assets,"Assets Held for Sale/Discontinued Operations, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Commercial Paper,"Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Capital Lease Obligations, Current","Provisions, Current","Provision for Employee Entitlements, Current","Other Provisions, Current",Other Current Liabilities,"Liabilities Held for Sale/Discontinued Operations, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Capital Lease Obligations, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Taxes Payable, Non-Current",Other Non-Current Liabilities,"Liabilities Held for Sale/Discontinued Operations, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Preferred Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum. Comp. Inc,Pension and Other Post-Retirement Benefit Plans Reserves/Accum. Comp. Inc,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Non-Controlling/Minority Interests,Common Shares Issued,Common Shares Outstanding,Common Shares Treasury
2010,"128,172,000,000","18,782,000,000","2,879,000,000","2,879,000,000",,,"6,384,000,000","1,692,000,000","604,000,000","4,088,000,000","5,335,000,000","5,335,000,000","3,194,000,000","990,000,000",,0,"109,390,000,000","19,244,000,000","37,012,000,000","7,718,000,000","850,000,000","6,868,000,000","29,294,000,000",,"-17,768,000,000","-17,768,000,000","85,648,000,000","85,648,000,000","54,012,000,000","31,636,000,000","1,565,000,000",,"30,071,000,000",,,,,,,,,"4,498,000,000",,"66,733,000,000","24,282,000,000","15,810,000,000","7,251,000,000","7,251,000,000",,"8,559,000,000","8,472,000,000","8,472,000,000","8,472,000,000",,,,,,,,,,,"42,451,000,000","21,360,000,000","21,360,000,000","21,360,000,000",,,,,"10,902,000,000","10,902,000,000",,,,"10,189,000,000",,"61,439,000,000","61,115,000,000","5,673,000,000","66,982,000,000","4,008,000,000",,"1,277,000,000","61,697,000,000","-61,309,000,000","64,614,000,000","-7,822,000,000",,,"-1,350,000,000","324,000,000","2,843,500,000","2,843,500,000","1,164,100,000"
2011,"138,354,000,000","21,970,000,000","2,768,000,000","2,768,000,000",,,"7,379,000,000","2,153,000,000","717,000,000","4,509,000,000","6,275,000,000","6,275,000,000","4,408,000,000","1,140,000,000",,0,"116,384,000,000","21,293,000,000","41,507,000,000","8,687,000,000","934,000,000","7,753,000,000","32,820,000,000",,"-20,214,000,000","-20,214,000,000","90,182,000,000","90,182,000,000","57,562,000,000","32,620,000,000",,,"32,620,000,000",,,,,,,,,"4,909,000,000",,"70,353,000,000","27,293,000,000","17,312,000,000","8,022,000,000","8,022,000,000",,"9,290,000,000","9,981,000,000","9,981,000,000","9,981,000,000",,,,,,,,,,,"43,060,000,000","22,033,000,000","22,033,000,000","22,033,000,000",,,,,"11,070,000,000","11,070,000,000",,,,"9,957,000,000",,"68,001,000,000","67,640,000,000","369,000,000","67,647,000,000","4,008,000,000","4,008,000,000","1,234,000,000","62,405,000,000","-67,278,000,000","70,682,000,000","-2,054,000,000",,,"-1,357,000,000","361,000,000","2,765,700,000","2,765,700,000","1,242,200,000"
2012,"132,244,000,000","21,910,000,000","4,436,000,000","4,436,000,000",,,"6,721,000,000","1,740,000,000","685,000,000","4,296,000,000","6,068,000,000","6,068,000,000","3,684,000,000","1,001,000,000",,,"110,334,000,000","20,377,000,000","40,233,000,000","8,204,000,000","880,000,000","7,324,000,000","32,029,000,000",,"-19,856,000,000","-19,856,000,000","84,761,000,000","89,329,000,000","53,773,000,000","35,556,000,000","33,156,000,000","2,048,000,000","352,000,000","-4,568,000,000","-4,568,000,000","-4,568,000,000","-3,708,000,000","-642,000,000","-218,000,000",,,"5,196,000,000",,"68,209,000,000","24,907,000,000","11,478,000,000","8,334,000,000","7,920,000,000","414,000,000","3,144,000,000","8,698,000,000","8,698,000,000","4,615,000,000","4,574,000,000","41,000,000","4,083,000,000","4,067,000,000","16,000,000","2,003,000,000","1,660,000,000","343,000,000","2,728,000,000",,"43,302,000,000","21,080,000,000","21,080,000,000","21,051,000,000","29,000,000","8,954,000,000","8,954,000,000","8,954,000,000","10,132,000,000","10,132,000,000",,,,"3,136,000,000",,"64,035,000,000","63,439,000,000","-1,220,000,000","68,384,000,000","4,008,000,000","4,008,000,000","1,195,000,000","63,181,000,000","-69,604,000,000","75,349,000,000","-10,690,000,000","-9,333,000,000","-1,357,000,000",,"596,000,000","2,748,000,000","2,748,000,000","1,260,400,000"
2013,"139,263,000,000","23,990,000,000","5,947,000,000","5,947,000,000",,,"6,909,000,000","1,704,000,000","722,000,000","4,483,000,000","6,508,000,000","6,508,000,000","3,678,000,000","948,000,000",,,"115,273,000,000","21,666,000,000","43,012,000,000","8,707,000,000","878,000,000","7,829,000,000","31,070,000,000","3,235,000,000","-21,346,000,000","-21,346,000,000","86,760,000,000","93,272,000,000","56,777,000,000","36,495,000,000","34,029,000,000","2,118,000,000","348,000,000","-6,512,000,000","-4,923,000,000","-4,923,000,000","-4,052,000,000","-703,000,000","-168,000,000","-1,589,000,000","-1,589,000,000","6,847,000,000",,"70,554,000,000","30,037,000,000","13,090,000,000","9,594,000,000","8,777,000,000","817,000,000","3,496,000,000","12,432,000,000","12,432,000,000","7,926,000,000","7,642,000,000","284,000,000","4,506,000,000","4,501,000,000","5,000,000","1,988,000,000","1,665,000,000","323,000,000","2,527,000,000",,"40,517,000,000","19,111,000,000","19,111,000,000","19,085,000,000","26,000,000","7,740,000,000","7,740,000,000","7,740,000,000","10,827,000,000","10,827,000,000",,,,"2,839,000,000",,"68,709,000,000","68,064,000,000","-3,282,000,000","68,684,000,000","4,009,000,000","4,009,000,000","1,137,000,000","63,538,000,000","-71,966,000,000","80,197,000,000","-8,851,000,000","-7,499,000,000","-1,352,000,000",,"645,000,000","2,742,300,000","2,742,300,000","1,266,900,000"
2014,"144,266,000,000","31,617,000,000","10,686,000,000","8,558,000,000","2,128,000,000","2,128,000,000","6,759,000,000","1,742,000,000","684,000,000","4,333,000,000","6,386,000,000","6,386,000,000","3,845,000,000","1,092,000,000","2,849,000,000",,"112,649,000,000","22,304,000,000","44,427,000,000","8,915,000,000","893,000,000","8,022,000,000","32,398,000,000","3,114,000,000","-22,123,000,000","-22,123,000,000","84,547,000,000","91,350,000,000","55,293,000,000","36,057,000,000","33,700,000,000","2,002,000,000","355,000,000","-6,803,000,000","-5,214,000,000","-5,214,000,000","-4,287,000,000","-763,000,000","-164,000,000","-1,589,000,000","-1,589,000,000","5,798,000,000",,"74,290,000,000","33,726,000,000","12,861,000,000","9,172,000,000","8,461,000,000","711,000,000","3,689,000,000","15,606,000,000","15,606,000,000","11,299,000,000","10,818,000,000","481,000,000","4,307,000,000","4,288,000,000","19,000,000","2,028,000,000","1,647,000,000","381,000,000","2,571,000,000","660,000,000","40,564,000,000","19,811,000,000","19,811,000,000","19,747,000,000","64,000,000","7,890,000,000","7,890,000,000","7,890,000,000","10,218,000,000","10,218,000,000",,,,"2,645,000,000",,"69,976,000,000","69,214,000,000","-6,774,000,000","69,031,000,000","4,009,000,000","4,009,000,000","1,111,000,000","63,911,000,000","-75,805,000,000","84,990,000,000","-9,002,000,000","-7,662,000,000","-1,340,000,000",,"762,000,000","2,710,800,000","2,710,800,000","1,298,400,000"
2015,"129,495,000,000","29,646,000,000","11,612,000,000","6,845,000,000","4,767,000,000","4,767,000,000","5,454,000,000","1,392,000,000","550,000,000","3,512,000,000","4,861,000,000","4,861,000,000","2,853,000,000","1,356,000,000","3,510,000,000",,"99,849,000,000","20,268,000,000","41,347,000,000","8,004,000,000","795,000,000","7,209,000,000","30,346,000,000","2,997,000,000","-21,079,000,000","-21,079,000,000","74,145,000,000","82,849,000,000","50,969,000,000","31,880,000,000","29,952,000,000","1,621,000,000","307,000,000","-8,704,000,000","-5,051,000,000","-5,051,000,000","-4,236,000,000","-659,000,000","-156,000,000","-3,653,000,000","-3,653,000,000","5,436,000,000",,"66,445,000,000","29,790,000,000","12,211,000,000","9,102,000,000","8,257,000,000","845,000,000","3,109,000,000","12,021,000,000","12,021,000,000","9,249,000,000","8,807,000,000","442,000,000","2,772,000,000","2,752,000,000","20,000,000","1,844,000,000","1,455,000,000","389,000,000","2,527,000,000","1,187,000,000","36,655,000,000","18,329,000,000","18,329,000,000","18,297,000,000","32,000,000","6,997,000,000","6,997,000,000","6,997,000,000","9,531,000,000","9,531,000,000",,,,"1,798,000,000",,"63,050,000,000","62,419,000,000","-8,288,000,000","68,938,000,000","4,009,000,000","4,009,000,000","1,077,000,000","63,852,000,000","-77,226,000,000","84,807,000,000","-14,100,000,000","-12,780,000,000","-1,320,000,000",,"631,000,000","2,714,500,000","2,714,500,000","1,294,700,000"
2016,"127,136,000,000","33,782,000,000","13,348,000,000","7,102,000,000","6,246,000,000","6,246,000,000","4,716,000,000","1,188,000,000","563,000,000","2,965,000,000","4,373,000,000","4,373,000,000","2,653,000,000","1,507,000,000","7,185,000,000",,"93,354,000,000","19,385,000,000","39,866,000,000","7,654,000,000","769,000,000","6,885,000,000","29,506,000,000","2,706,000,000","-20,481,000,000","-20,481,000,000","68,877,000,000","74,875,000,000","45,508,000,000","29,367,000,000","27,739,000,000","1,382,000,000","246,000,000","-5,998,000,000","-4,840,000,000","-4,840,000,000","-4,196,000,000","-514,000,000","-130,000,000","-1,158,000,000","-1,158,000,000","5,092,000,000",0,"69,153,000,000","30,770,000,000","12,700,000,000","9,722,000,000","9,325,000,000","397,000,000","2,978,000,000","11,653,000,000","11,653,000,000","8,893,000,000","8,690,000,000","203,000,000","2,760,000,000","2,744,000,000","16,000,000","1,772,000,000","1,457,000,000","315,000,000","2,302,000,000","2,343,000,000","38,383,000,000","18,945,000,000","18,945,000,000","18,916,000,000","29,000,000","8,569,000,000","8,569,000,000","8,569,000,000","9,113,000,000","9,113,000,000",,,,"1,756,000,000",0,"57,983,000,000","57,341,000,000","-13,415,000,000","68,761,000,000","4,009,000,000","4,009,000,000","1,038,000,000","63,714,000,000","-82,176,000,000","87,953,000,000","-17,197,000,000","-15,907,000,000","-1,290,000,000",,"642,000,000","2,668,000,000","2,668,000,000","1,341,200,000"
2017,"120,406,000,000","26,494,000,000","15,137,000,000","5,569,000,000","9,568,000,000","9,568,000,000","4,624,000,000","1,308,000,000","529,000,000","2,787,000,000","4,594,000,000","4,594,000,000","2,139,000,000",0,0,,"93,912,000,000","19,893,000,000","40,148,000,000","7,708,000,000","765,000,000","6,943,000,000","29,505,000,000","2,935,000,000","-20,255,000,000","-20,255,000,000","68,886,000,000","73,741,000,000","44,699,000,000","29,042,000,000","27,426,000,000","1,377,000,000","239,000,000","-4,855,000,000","-4,855,000,000","-4,855,000,000","-4,159,000,000","-564,000,000","-132,000,000",,,"5,133,000,000",,"64,628,000,000","30,210,000,000","13,041,000,000","10,081,000,000","9,632,000,000","449,000,000","2,960,000,000","13,554,000,000","13,554,000,000","11,878,000,000","11,705,000,000","173,000,000","1,676,000,000","1,663,000,000","13,000,000","1,621,000,000","1,344,000,000","277,000,000","1,994,000,000",0,"34,418,000,000","18,038,000,000","18,038,000,000","18,000,000,000","38,000,000","6,820,000,000","6,820,000,000","6,820,000,000","8,126,000,000","8,126,000,000",,,,"1,434,000,000",,"55,778,000,000","55,184,000,000","-25,059,000,000","68,656,000,000","4,009,000,000","4,009,000,000","1,006,000,000","63,641,000,000","-93,715,000,000","96,124,000,000","-15,881,000,000","-14,632,000,000","-1,249,000,000",,"594,000,000","2,553,300,000","2,553,300,000","1,455,900,000"
2018,"118,310,000,000","23,320,000,000","11,850,000,000","2,569,000,000","9,281,000,000","9,281,000,000","4,738,000,000","1,335,000,000","588,000,000","2,815,000,000","4,686,000,000","4,686,000,000","2,046,000,000",,,,"94,990,000,000","20,600,000,000","41,847,000,000","8,029,000,000","841,000,000","7,188,000,000","30,595,000,000","3,223,000,000","-21,247,000,000","-21,247,000,000","69,077,000,000","74,233,000,000","45,175,000,000","29,058,000,000","27,445,000,000","1,372,000,000","241,000,000","-5,156,000,000","-5,156,000,000","-5,156,000,000","-4,396,000,000","-616,000,000","-144,000,000",,,"5,313,000,000",,"65,427,000,000","28,237,000,000","13,976,000,000","10,612,000,000","10,344,000,000","268,000,000","3,364,000,000","10,423,000,000","10,423,000,000","8,651,000,000","7,761,000,000","890,000,000","1,772,000,000","1,750,000,000","22,000,000","1,811,000,000","1,298,000,000","513,000,000","2,027,000,000",,"37,190,000,000","20,863,000,000","20,863,000,000","20,778,000,000","85,000,000","6,263,000,000","6,263,000,000","6,263,000,000","6,163,000,000","6,163,000,000","2,654,000,000","2,654,000,000","2,654,000,000","1,247,000,000",,"52,883,000,000","52,293,000,000","-30,395,000,000","68,822,000,000","4,009,000,000","4,009,000,000","967,000,000","63,846,000,000","-99,217,000,000","98,641,000,000","-15,953,000,000","-14,749,000,000","-1,204,000,000",,"590,000,000","2,498,000,000","2,498,000,000","1,511,200,000"
2019,"115,095,000,000","22,473,000,000","10,287,000,000","4,239,000,000","6,048,000,000","6,048,000,000","5,017,000,000","1,289,000,000","612,000,000","3,116,000,000","4,951,000,000","4,951,000,000","2,218,000,000",,,,"92,622,000,000","21,271,000,000","43,393,000,000","8,551,000,000","805,000,000","7,746,000,000","32,263,000,000","2,579,000,000","-22,122,000,000","-22,122,000,000","64,488,000,000","69,864,000,000","40,273,000,000","29,591,000,000","27,659,000,000","1,787,000,000","145,000,000","-5,376,000,000","-5,376,000,000","-5,376,000,000","-4,594,000,000","-691,000,000","-91,000,000",,,"6,863,000,000",,"67,516,000,000","30,011,000,000","15,900,000,000","11,601,000,000","11,260,000,000","341,000,000","4,299,000,000","9,697,000,000","9,697,000,000","6,309,000,000","6,183,000,000","126,000,000","3,388,000,000","3,379,000,000","9,000,000","2,091,000,000","1,623,000,000","468,000,000","2,323,000,000",,"37,505,000,000","20,395,000,000","20,395,000,000","20,371,000,000","24,000,000","6,720,000,000","6,720,000,000","6,720,000,000","6,899,000,000","6,899,000,000","2,343,000,000","2,343,000,000","2,343,000,000","1,148,000,000",,"47,579,000,000","47,194,000,000","-31,642,000,000","68,764,000,000","4,009,000,000","4,009,000,000","928,000,000","63,827,000,000","-100,406,000,000","94,918,000,000","-16,082,000,000","-14,936,000,000","-1,146,000,000",,"385,000,000","2,504,700,000","2,504,700,000","1,504,500,000"